排名,标题,综合分数,播放量,Up主,个人空间,视频地址,弹幕
1,【何同学】整理自己的生活（P2附库克采访）,7840665,449.4万,老师好我叫何同学,//space.bilibili.com/163637592,//www.bilibili.com/video/BV13v411v7Zo,8万
2,年年有“鱼”,7380368,513万,吃花椒的喵酱,//space.bilibili.com/2026561407,//www.bilibili.com/video/BV18U4y1W72R,7.7万
3,99%的人不知道这些网站，能帮你找到所有想要资源！！！,3976908,221.7万,取景框看世界,//space.bilibili.com/40427625,//www.bilibili.com/video/BV1TN411d7FL,1.5万
4,花了一天把所有角色认出来了【阅片无数动漫篇22】,3685287,234万,凉风Kaze,//space.bilibili.com/14110780,//www.bilibili.com/video/BV1vo4y197Lc,5.1万
5,一个简单的动作消除鼻塞【一个简单动作 30秒改善鼻塞状况】,3595181,136万,关注看热点,//space.bilibili.com/526044134,//www.bilibili.com/video/BV12K4y1n7qb,2182
6,我可能不太适合做手工……,3411685,255.7万,老番茄,//space.bilibili.com/546195,//www.bilibili.com/video/BV1TN411d7w2,2.7万
7,Z1，梦想之鞋，为你而来！丨BrandZ,3379677,149.3万,zettaranc,//space.bilibili.com/326246517,//www.bilibili.com/video/BV1BX4y157GT,6.3万
8,今天就是天王老子来了，我也要射中末影人！,3131364,143.6万,平平淡淡梁桑菌,//space.bilibili.com/443337891,//www.bilibili.com/video/BV1AN411d7Ko,6896
9,【谭晶】《赤伶》来了！经典吟唱再现，极限声压搭配绝美戏腔唱尽粉墨悲欢！,3060727,218.4万,谭晶,//space.bilibili.com/1435578906,//www.bilibili.com/video/BV1ao4y197Fn,1.1万
10,《 从零开始的社交恐惧 》？！！,2830057,167.1万,三十六贱笑,//space.bilibili.com/90361813,//www.bilibili.com/video/BV19K4y1n7TD,1.2万
11,【毕导】小白秒变高玩！如何用数学在桌游局里slay全场？,2807021,176.2万,毕导THU,//space.bilibili.com/254463269,//www.bilibili.com/video/BV1Zi4y1K7Ty,2.8万
12,某大户人家阳台晾肉20斤，被不速之客偷吃，却毫不生气。。,2663203,175万,绵羊料理,//space.bilibili.com/18202105,//www.bilibili.com/video/BV1ip4y1p7xy,6989
13,把这些丑东西穿到身上，会好看吗？,2624593,181.9万,中国BOY超级大猩猩,//space.bilibili.com/562197,//www.bilibili.com/video/BV15U4y1W7kF,5.6万
14,【罗翔】先性侵然后谈恋爱还叫不叫性侵？,2559563,208.2万,罗翔说刑法,//space.bilibili.com/517327498,//www.bilibili.com/video/BV1Q541177TT,1.5万
15,up主，你的脸疼吗？2020年度动画高能大总结！,2495432,139.6万,泛式,//space.bilibili.com/63231,//www.bilibili.com/video/BV1Nv411v7ni,1.5万
16,纽约春节竟如此热闹！街访美国人如何过春节？,2448989,174.7万,我是郭杰瑞,//space.bilibili.com/176037767,//www.bilibili.com/video/BV1YK4y1Q7YR,1.8万
17,《唐人街探案3》春节档最烂？我从来没见过如此烧脑的电影！,2297488,264.7万,三代鹿人,//space.bilibili.com/5870268,//www.bilibili.com/video/BV1Ah411y7F5,1.2万
18,#原创动画#——菱花镜——,2295636,100.1万,巴比伦塔1,//space.bilibili.com/52955639,//www.bilibili.com/video/BV1Kh411y7o7,1641
19,C4炸弹之春节十二响 【C4快乐阴人流#15】,2235108,101.7万,鲁大能,//space.bilibili.com/46708782,//www.bilibili.com/video/BV13p4y1W7KU,6.2万
20,《唐人街探案3》：国产影史票房最高的烂片,2154097,437.4万,路温1900,//space.bilibili.com/414336759,//www.bilibili.com/video/BV1kp4y1p7kU,1.2万
21,【童年回忆向/手书】我追着梦的光点,2142478,89.6万,四天旅行箱,//space.bilibili.com/16061742,//www.bilibili.com/video/BV1Yv411a7mQ,9146
22,千万不要在寒假最后一天边听歌边补作业,2030938,222.5万,喜闻乐见的小狗头,//space.bilibili.com/38414397,//www.bilibili.com/video/BV1iy4y1Y7PT,4375
23,我 们 是 不 死 族 ！！【植物大战僵尸/高燃手书】,1985169,123.6万,瘟三邪神,//space.bilibili.com/29658682,//www.bilibili.com/video/BV1Gz4y127AZ,2479
24,你可能不信，今年面对七姑八姨，我赢了一次！,1978569,192.9万,导演小策,//space.bilibili.com/81824112,//www.bilibili.com/video/BV1mr4y1P778,1.4万
25,这是一场胜算20%的游戏【水无月菌】,1953847,103.6万,水无月菌,//space.bilibili.com/1958342,//www.bilibili.com/video/BV1i54y1Y7C2,6510
26,两 只 老 虎 爱 买 菜,1885144,114.4万,魔骑墨奇,//space.bilibili.com/381711119,//www.bilibili.com/video/BV1sK4y1Q7s7,2391
27,【360°VR】刻晴深夜撒娇哄睡~♥,1847945,106.1万,空耳狂魔,//space.bilibili.com/3127528,//www.bilibili.com/video/BV1Tt4y1z7eN,3.5万
28,【半佛】《李焕英》没有意外，但出人意料。,1742978,196.4万,硬核的半佛仙人,//space.bilibili.com/37663924,//www.bilibili.com/video/BV1Dp4y1p7sX,5342
29,当年玩家为了抵达罪恶都市的另一边竟然不择手段！,1706778,255.4万,敖厂长,//space.bilibili.com/122879,//www.bilibili.com/video/BV1to4y1d7Rm,1万
30,姥爷治疗过程我倾尽全力 毫无保留动用了所有我能沟通不能沟通的力量 卡里清空虽然没能留下姥爷 但我不后悔 没有遗憾 只是无奈,1637496,106.2万,耀杨他姥爷,//space.bilibili.com/485595220,//www.bilibili.com/video/BV1hV411i7F2,1.2万
31,春节档唯一0差评电影，你可以永远相信熊出没！,1620869,234.1万,轩邈Elias,//space.bilibili.com/3386870,//www.bilibili.com/video/BV1kp4y1p78g,5191
32,⚡⚡两只老虎爱电舞⚡⚡,1590489,152万,枪弹轨迹,//space.bilibili.com/515993,//www.bilibili.com/video/BV1yA411T7YH,1952
33,流心的最高境界：我焦了！我装的！,1543945,66.4万,黑猫厨房,//space.bilibili.com/1420982,//www.bilibili.com/video/BV1Yf4y1z7Na,2096
34,用新一的声线玩“谁是内鬼”是什么体验,1542879,145.6万,声物课,//space.bilibili.com/308693140,//www.bilibili.com/video/BV1UV411i7ba,1830
35,【刘哔】《你好，李焕英》这是一部我无法客观评价的电影,1535844,235.8万,刘哔电影,//space.bilibili.com/27218150,//www.bilibili.com/video/BV1Mh411y7za,2290
36,来自刻晴的祝福,1535228,94万,XY大甘蔗,//space.bilibili.com/44243,//www.bilibili.com/video/BV1vv4y1Z72m,1995
37,《原神》EP -「千帆齐聚之城」,1532574,85万,原神,//space.bilibili.com/401742377,//www.bilibili.com/video/BV14K4y1Q7PH,6628
38,“可她现在还不会缝啊”,1432505,167.6万,EliotAxel,//space.bilibili.com/443374407,//www.bilibili.com/video/BV1io4y197CJ,1316
