排名,标题,综合分数,播放量,Up主,个人空间,视频地址,弹幕
70,C菌《生化危机8》试玩 20分钟抢先体验! (中文字幕),1128290,82.1万,渗透之C君,//space.bilibili.com/4162287,//www.bilibili.com/video/BV13K4y1s7Gd,7478
71,伤害性不大，侮辱性极强,1125812,104.7万,广东共青团,//space.bilibili.com/330383888,//www.bilibili.com/video/BV1b54y1p7bt,1317
72,听说这个游戏是大部分人的童年阴影！,1121579,59.6万,中国BOY超级大猩猩,//space.bilibili.com/562197,//www.bilibili.com/video/BV1Ph41117HK,9479
73,【罗翔】开酒不喝车，张三骗我酒后驾车,1121355,65.3万,罗翔说刑法,//space.bilibili.com/517327498,//www.bilibili.com/video/BV1Qy4y1H7n7,4435
74,帕梅拉 - 8min 久坐拉伸-改善圆肩驼背 颈前倾 腰酸背痛|矫正体态站姿,1109126,39.7万,帕梅拉PamelaReif,//space.bilibili.com/604003146,//www.bilibili.com/video/BV1wy4y1p73y,304
75,4000多个BUG！制作人自己都玩不下去！【猛男吐槽】,1106501,136.8万,四川猛男老圆,//space.bilibili.com/888874,//www.bilibili.com/video/BV1Gh411y7L4,1202
76,名老猪倌谭sir绝口不谈郑爽，只谈养猪那些事儿,1101627,67.3万,谭乔,//space.bilibili.com/330415548,//www.bilibili.com/video/BV15t4y1z7ix,9314
77,还以为你喜欢小奶狗，害我装了那么久！,1082119,73万,阿巳与小铃铛,//space.bilibili.com/641591444,//www.bilibili.com/video/BV1hh411y75L,803
78,【人设彻底崩塌】杨幂正面怼郑爽轮番打脸，老娘就是不爽你！,1070630,216.6万,荒草音乐,//space.bilibili.com/626297715,//www.bilibili.com/video/BV1vy4y1H7Qo,3427
79,在日本一个月花2W人民币可以住什么样的房？新家vlog,1070291,83万,孤独的美食基,//space.bilibili.com/4474705,//www.bilibili.com/video/BV1vp4y1x7NA,4910
80,诗仙女排一晚被秒20盘，聊天框尽显人间百态！,1056523,118.8万,火播君,//space.bilibili.com/268536810,//www.bilibili.com/video/BV16o4y1o7NJ,1.3万
81,反杀土味情话6.0,1053930,64.3万,盖世猪猪丶,//space.bilibili.com/339680732,//www.bilibili.com/video/BV1nA411p7uE,970
82,呐~这个就叫专业~~~,1047882,45.5万,微小_时光,//space.bilibili.com/238316459,//www.bilibili.com/video/BV1Ch411y75c,818
83,大雄...已经...无所谓了...【第二期】！！！,1047428,81.9万,逗比的雀巢,//space.bilibili.com/5294454,//www.bilibili.com/video/BV1554y1s7qG,542
84,大结局！汉弗莱和首相谁赢了？9.8分硬核神剧《是，首相》（08/S2E7&E8）,1039821,44.5万,木鱼水心,//space.bilibili.com/927587,//www.bilibili.com/video/BV1ZU4y1471H,5248
85,【ずっと真夜中でいいのに。】暗く黒く（昏暗漆黑）【MV】【漫改真人电影『三角窗外是黑夜』主题曲】,1039205,36.2万,阿赫official,//space.bilibili.com/797614,//www.bilibili.com/video/BV1wv411s7EM,440
86,拖更40天-TOO顶之弈回归【6套阵容合一】【万物皆C流】不上分都不行！,1038705,46万,我是TOO,//space.bilibili.com/13904634,//www.bilibili.com/video/BV1xU4y1s7Au,1171
87,五菱宏光，永远滴神！,1038358,83.4万,米开朗机罗,//space.bilibili.com/493551742,//www.bilibili.com/video/BV1Vo4y1o7uV,567
88,电影最TOP 167: 剧集井喷年！盘点2020让人最印象深刻的十大好剧,1036162,68.9万,电影最TOP,//space.bilibili.com/17819768,//www.bilibili.com/video/BV1654y1s7JL,1.2万
89,【逗鱼时刻】第286期 蟑螂舞姬 再战江湖,1033036,91.2万,天天卡牌,//space.bilibili.com/10462362,//www.bilibili.com/video/BV17A411p7Uf,8247
90,我读懂了郑爽的声明！,1021963,72.6万,Yp杨英鹏,//space.bilibili.com/5734089,//www.bilibili.com/video/BV1jU4y147jc,1750
91,郑爽宝 您的居家好伴侣,1018819,105.5万,电门大官人,//space.bilibili.com/6684598,//www.bilibili.com/video/BV1Rr4y1T7Qb,2213
92,纠正玛卡巴卡动作的摇摆羊,1018429,66.5万,啥名字好诶,//space.bilibili.com/101166977,//www.bilibili.com/video/BV1tK411u7dK,474
93,我的猫要去二仙桥,1013181,34.6万,幾加乘,//space.bilibili.com/404216060,//www.bilibili.com/video/BV1rh411y73T,1245
94,代孕 恐婚 恐育现象推演下去的未来将会怎样？【思维实验室】25号宇宙（下）,996875,42.5万,思维实验室,//space.bilibili.com/14583962,//www.bilibili.com/video/BV16o4y1R7pb,7120
95,华晨宇X张碧晨：父母担当？背后的公关套路？求求娱乐圈不要再凹人设了！,995601,61.5万,是桃大,//space.bilibili.com/479409514,//www.bilibili.com/video/BV1Dz4y1S7Ap,8.1万
96,怎么收集信息？推荐的书？如何放弃？女装进度50%！,983655,31.8万,所长林超,//space.bilibili.com/520155988,//www.bilibili.com/video/BV19K4y1W7vP,3101
97,【围炉夜话】“阿Q竟是我自己！”,980107,36.6万,智能路障,//space.bilibili.com/79577853,//www.bilibili.com/video/BV1Yt4y167hZ,4796
98,吃完鸡腿，去天台跳个舞！,968221,65.7万,-欣小萌-,//space.bilibili.com/8366990,//www.bilibili.com/video/BV11p4y1x7GM,1154
99,爱 情 本 来 就 是 疯 狂 ～,952626,87.9万,姚姚不是P30,//space.bilibili.com/587618113,//www.bilibili.com/video/BV1Av41147EY,1221
100,厨师长教你：“葱烧鲤鱼”的家常做法，汤汁浓郁，鱼肉细嫩，收藏,951966,64.3万,美食作家王刚R,//space.bilibili.com/290526283,//www.bilibili.com/video/BV1EA411p7Gh,2019
