排名,标题,综合分数,播放量,Up主,个人空间,视频地址,弹幕
38,从来没想过，不孕会发生在我身上！为了成为妈妈，我都经历了什么？,1446387,68.2万,vivi可爱多,//space.bilibili.com/16206007,//www.bilibili.com/video/BV1Lp4y1x7Hc,4159
39,华农兄弟：在小水潭抓到1只甲鱼，第一次烤着吃，没想到这么好吃,1435783,156.2万,华农兄弟,//space.bilibili.com/250858633,//www.bilibili.com/video/BV1Tf4y1y7sA,2.3万
40,《周星驰电影经典音乐片段合奏》（上）,1413818,56.2万,爱音乐的三丈,//space.bilibili.com/498494533,//www.bilibili.com/video/BV1zi4y1F7MW,3581
41,钱收割人的年代，6大新生存法则【干货多到变态】,1402860,49.2万,所长林超,//space.bilibili.com/520155988,//www.bilibili.com/video/BV1nh41127Do,2785
42,“这是给我们养的狗粮吗？”——大狗们的小农场,1362771,54.1万,九品芝麻铲屎官,//space.bilibili.com/4779198,//www.bilibili.com/video/BV1GA411H7aL,4335
43,【瀑布芝士火锅】热量有什么？我又不差这亿点点,1360896,83.2万,日食记,//space.bilibili.com/8960728,//www.bilibili.com/video/BV1iT4y1N7Kw,2382
44,【山高县】不惧怕美国，是因为中国诞生于纠错，而美国将毁于纠错！,1360755,61.2万,观视频工作室,//space.bilibili.com/54992199,//www.bilibili.com/video/BV1Tr4y1T7Su,8907
45,不 愧 是 我 王 冰 冰,1349257,161.4万,龙大人不喷火,//space.bilibili.com/25911961,//www.bilibili.com/video/BV1EA411W7uG,808
46,适合收藏的入门妆教！真滴绝了～,1293010,64.4万,小桑菜奈,//space.bilibili.com/31438993,//www.bilibili.com/video/BV1dA411p7GX,1953
47,我的bronya搁这儿装绫波丽呢,1286641,61万,hanser,//space.bilibili.com/11073,//www.bilibili.com/video/BV1qv411x7PF,3408
48,【英雄联盟】新赛季宣传片：破败之咒,1276218,129.4万,英雄联盟,//space.bilibili.com/178778949,//www.bilibili.com/video/BV1ah41127Q3,4015
49,高中女生街头借火点烟 竟被要求加微信！,1269637,123.3万,落九川,//space.bilibili.com/470962000,//www.bilibili.com/video/BV1y54y1W7Vb,4334
50,禁 止 职 业 选 手 对 对 子 ！（UZIvs厂长）,1258815,69万,聒噪的山海君,//space.bilibili.com/69112541,//www.bilibili.com/video/BV1Ey4y1H7JJ,1195
51,80元一斤的野生超大花甲王，价格比普通花甲贵了八倍，会更好吃吗？,1256380,73.8万,记录生活的蛋黄派,//space.bilibili.com/337521240,//www.bilibili.com/video/BV1ya4y1n75t,1.5万
52,【童姥】揭秘人体交易黑市：你死了，比活着更值钱--黑产揭秘017,1217226,84.1万,童姥-女孩别怕,//space.bilibili.com/66605322,//www.bilibili.com/video/BV1Gy4y1v7uE,3574
53,试吃九种大虫子，贝爷同款竟然排名第二！,1214378,94.7万,大祥哥来了,//space.bilibili.com/2920960,//www.bilibili.com/video/BV1n54y1478Z,1.1万
54,《原神》甘雨角色PV—— 「璃月港的一夜」,1208902,124.4万,原神,//space.bilibili.com/401742377,//www.bilibili.com/video/BV1ua4y1H714,1.1万
55,这应该是就是人类无法抗拒的诱惑吧？,1207400,80.8万,阿巳与小铃铛,//space.bilibili.com/641591444,//www.bilibili.com/video/BV1Ey4y1H7rM,1106
56,玩完后我愿称之为4399“最强”小游戏！,1194795,62.6万,张子zi,//space.bilibili.com/85649095,//www.bilibili.com/video/BV1yy4y1U7sU,549
57,《 爷 爷 拯 救 计 划 2 ！》,1184203,52.1万,远古黑金,//space.bilibili.com/158119101,//www.bilibili.com/video/BV1w54y1s7HB,3019
58,挑战极限，骑着28大杠环海南岛是什么体验,1182110,54万,拜托了小翔哥,//space.bilibili.com/353539995,//www.bilibili.com/video/BV1rK411M74t,3214
59,【怪异君】怪异君谋划终极整蛊 泡芙喵领衔开年大戏,1163702,51.8万,我是怪异君,//space.bilibili.com/4408538,//www.bilibili.com/video/BV14V41187yM,9765
60,阅  冰  仪  式,1151364,91.5万,十五的月亮廿九圆,//space.bilibili.com/397211154,//www.bilibili.com/video/BV1Ca4y1n7d8,658
61,【新三国Rap】接着奏乐！接着舞！,1146777,66.8万,还有一天就放假了,//space.bilibili.com/7792521,//www.bilibili.com/video/BV1Fy4y1v7fd,1070
62,一位27岁癌症患者的自白，年轻人，请别再糟蹋你的身体！,1136859,83.2万,心河摆渡,//space.bilibili.com/230983435,//www.bilibili.com/video/BV1E54y147gY,1842
63,什么时候结婚？,1133890,59万,雨哥到处跑,//space.bilibili.com/147166910,//www.bilibili.com/video/BV1uz4y167hA,1.2万
64,蜡笔小新里提过的霓虹美人们,1129930,54.7万,一个正经的剪辑人,//space.bilibili.com/517774144,//www.bilibili.com/video/BV1Ci4y1w79Q,1053
65,最 强 白 嫖 指 南：35个免费宝藏网站，你居然还不知道？！,1126203,34.8万,取景框看世界,//space.bilibili.com/40427625,//www.bilibili.com/video/BV1rX4y1T7G9,959
66,我的世界地球版将于今年6月30日停服,1124082,98万,籽岷,//space.bilibili.com/686127,//www.bilibili.com/video/BV1Lz4y167bQ,1223
