排名,标题,综合分数,播放量,Up主,个人空间,视频地址,弹幕
1,年年有“鱼”,7195240,481.2万,吃花椒的喵酱,//space.bilibili.com/2026561407,//www.bilibili.com/video/BV18U4y1W72R,7.4万
2,【何同学】整理自己的生活,6309856,273.9万,老师好我叫何同学,//space.bilibili.com/163637592,//www.bilibili.com/video/BV13v411v7Zo,5.6万
3,99%的人不知道这些网站，能帮你找到所有想要资源！！！,5330148,266.1万,取景框看世界,//space.bilibili.com/40427625,//www.bilibili.com/video/BV1TN411d7FL,1.8万
4,《唐人街探案3》：国产影史票房最高的烂片,3527546,638.4万,路温1900,//space.bilibili.com/414336759,//www.bilibili.com/video/BV1kp4y1p7kU,2.1万
5,Z1，梦想之鞋，为你而来！丨BrandZ,3354325,142.4万,zettaranc,//space.bilibili.com/326246517,//www.bilibili.com/video/BV1BX4y157GT,6.2万
6,我可能不太适合做手工……,3290470,238.8万,老番茄,//space.bilibili.com/546195,//www.bilibili.com/video/BV1TN411d7w2,2.6万
7,《唐人街探案3》春节档最烂？我从来没见过如此烧脑的电影！,3216111,328.3万,三代鹿人,//space.bilibili.com/5870268,//www.bilibili.com/video/BV1Ah411y7F5,1.9万
8,花了一天把所有角色认出来了【阅片无数动漫篇22】,3059969,155.7万,凉风Kaze,//space.bilibili.com/14110780,//www.bilibili.com/video/BV1vo4y197Lc,3.9万
9,当年玩家为了抵达罪恶都市的另一边竟然不择手段！,2931887,400.1万,敖厂长,//space.bilibili.com/122879,//www.bilibili.com/video/BV1to4y1d7Rm,2.3万
10,你可能不信，今年面对七姑八姨，我赢了一次！,2741046,257.4万,导演小策,//space.bilibili.com/81824112,//www.bilibili.com/video/BV1mr4y1P778,2.2万
11,【毕导】小白秒变高玩！如何用数学在桌游局里slay全场？,2705675,161.6万,毕导THU,//space.bilibili.com/254463269,//www.bilibili.com/video/BV1Zi4y1K7Ty,2.7万
12,【谭晶】《赤伶》来了！经典吟唱再现，极限声压搭配绝美戏腔唱尽粉墨悲欢！,2651037,163.1万,谭晶,//space.bilibili.com/1435578906,//www.bilibili.com/video/BV1ao4y197Fn,9231
13,《 从零开始的社交恐惧 》？！！,2641748,141.9万,三十六贱笑,//space.bilibili.com/90361813,//www.bilibili.com/video/BV19K4y1n7TD,1.1万
14,【童年回忆向/手书】我追着梦的光点,2640750,101.9万,四天旅行箱,//space.bilibili.com/16061742,//www.bilibili.com/video/BV1Yv411a7mQ,1.2万
15,把这些丑东西穿到身上，会好看吗？,2534153,167.6万,中国BOY超级大猩猩,//space.bilibili.com/562197,//www.bilibili.com/video/BV15U4y1W7kF,5.4万
16,我 们 是 不 死 族 ！！【植物大战僵尸/高燃手书】,2496889,152.9万,瘟三邪神,//space.bilibili.com/29658682,//www.bilibili.com/video/BV1Gz4y127AZ,3390
17,【罗翔】先性侵然后谈恋爱还叫不叫性侵？,2486949,197万,罗翔说刑法,//space.bilibili.com/517327498,//www.bilibili.com/video/BV1Q541177TT,1.4万
18,纽约春节竟如此热闹！街访美国人如何过春节？,2304131,154.3万,我是郭杰瑞,//space.bilibili.com/176037767,//www.bilibili.com/video/BV1YK4y1Q7YR,1.7万
19,up主，你的脸疼吗？2020年度动画高能大总结！,2234887,107.7万,泛式,//space.bilibili.com/63231,//www.bilibili.com/video/BV1Nv411v7ni,1.3万
20,C4炸弹之春节十二响 【C4快乐阴人流#15】,2168808,91.8万,鲁大能,//space.bilibili.com/46708782,//www.bilibili.com/video/BV13p4y1W7KU,6万
21,#原创动画#——菱花镜——,2076796,80.8万,巴比伦塔1,//space.bilibili.com/52955639,//www.bilibili.com/video/BV1Kh411y7o7,1396
22,【刘哔】《你好，李焕英》这是一部我无法客观评价的电影,2071898,291.7万,刘哔电影,//space.bilibili.com/27218150,//www.bilibili.com/video/BV1Mh411y7za,3415
