排名,标题,综合分数,播放量,Up主,个人空间,视频地址,弹幕
36,三年了，终于等到一个没有我哥在的周末,1379606,150万,疯狂小杨哥,//space.bilibili.com/419738808,//www.bilibili.com/video/BV1Uv4y1f7rH,2571
37,狗子绝育后连续3个月每天到宠物医院骂街 医生道歉结局亮了,1360658,212.8万,中国日报,//space.bilibili.com/21778636,//www.bilibili.com/video/BV1oy4y117Wf,956
38,拼夕夕零食真的可吗？无情测评！学生党必看！,1354817,74.7万,达达达布溜-,//space.bilibili.com/430926487,//www.bilibili.com/video/BV1Gv411s7JV,5585
39,小海狮脖子上缠着特别严实密集的渔网，第四次营救终于成功！【纳米比亚海洋保护队】,1316344,54.4万,纳米比亚海洋保护队,//space.bilibili.com/2014688638,//www.bilibili.com/video/BV1DK4y1H73S,2447
40,【曼达小馆】原地过年也要有仪式感，2021的年夜饭是小团圆版,1306630,48.7万,曼食慢语,//space.bilibili.com/5957440,//www.bilibili.com/video/BV1yy4y117wK,6866
41,把跑步机开到最快速度，猫上去直接 起飞！！芜湖！！,1302369,84.7万,蒂姆嘟嘟Tim,//space.bilibili.com/20951119,//www.bilibili.com/video/BV1Hh41117qA,2287
42,猫脸识别喂食器，猫：以我的颜值...哎！你别关呀,1280021,67.3万,花花与三猫CatLive,//space.bilibili.com/9008159,//www.bilibili.com/video/BV16r4y1K79n,4689
43,从『0维空间』到『5维时空』，改变这个世界的维度！【互动游戏】《维度跃迁者》,1256812,49.8万,GoldenEggs,//space.bilibili.com/13337125,//www.bilibili.com/video/BV19v4y1f7Q9,1.3万
44,《原神》声优小剧场——「璃月雅集」第一期,1232745,69.6万,原神,//space.bilibili.com/401742377,//www.bilibili.com/video/BV1k5411J7u2,1.6万
45,央视 中配版《工作细胞》 预告,1228341,167.4万,lLotus_,//space.bilibili.com/5706677,//www.bilibili.com/video/BV1hT4y1P7u9,2265
46,用2斤英国sao猪做的流油大肘子是什么味道？好吃上天,1204696,80.3万,假美食po主,//space.bilibili.com/26139491,//www.bilibili.com/video/BV1Fh411173t,9572
47,印尼唢呐悍匪の武器库,1198061,95.5万,浑元Rysn,//space.bilibili.com/42561463,//www.bilibili.com/video/BV1PV411B7m7,1916
48,全员辣妹演唱会新造型！！！BLACKPINK最新美国舞台《Pretty Savage》超清完整版,1181804,73.3万,taerubykim,//space.bilibili.com/86469984,//www.bilibili.com/video/BV1Ky4y1n7Pq,8553
49,【半佛】道德标准，因钱而异,1160430,84.8万,硬核的半佛仙人,//space.bilibili.com/37663924,//www.bilibili.com/video/BV1Rr4y1N7Ay,3255
50,姐姐们真的准备好了吗？爆笑吐槽《乘风破浪的姐姐2》尴尬现场,1158098,74.3万,开心嘴炮,//space.bilibili.com/203337614,//www.bilibili.com/video/BV11f4y167eV,5.3万
51,一锤下去，我傻了,1157954,107.1万,窝头是个暴脾气,//space.bilibili.com/320818292,//www.bilibili.com/video/BV1fV411t7Lm,5465
52,教你寒假如何不用玩手机也能爽到飞起,1153955,48.2万,二二酸酸,//space.bilibili.com/106685726,//www.bilibili.com/video/BV1xy4y1n7cc,7228
53,一个人模仿10个Rapper的说唱风格（GALI，法老，王以太，AR等）,1152412,48.1万,萨萨超级飒,//space.bilibili.com/35341575,//www.bilibili.com/video/BV1Zo4y1R7ES,3565
